229|483|610|1
229|483|610|1
229|483|610|1
229|483|610|1
165|330|457|2
165|330|457|2
165|330|457|2
165|330|457|2
229|406|660|3
229|406|660|3
216|457|533|4
216|457|533|4
203|229|381|5
203|229|381|5
178|356|533|6
178|356|533|6
152|114|325|7
152|114|325|7
152|114|325|7
152|114|325|7
152|114|325|7
152|114|325|7
152|114|325|7
152|114|325|7
152|114|325|7
152|114|325|7
152|114|325|7
152|114|325|7
152|114|325|7
152|114|325|7
152|114|325|7
152|114|325|7
152|114|325|7
152|114|325|7
152|114|325|7
152|114|325|7
