138|182|285|1
138|182|285|1
138|182|285|1
138|182|285|1
138|182|285|1
138|182|285|1
126|240|135|2
126|240|135|2
126|240|135|2
126|240|135|2
126|240|135|2
108|222|165|3
108|222|165|3
108|222|165|3
108|222|165|3
140|80|246|4
140|80|246|4
140|80|246|4
140|80|246|4
140|80|246|4
105|234|272|5
105|234|272|5
105|234|272|5
153|237|159|6
153|237|159|6
153|237|159|6
153|237|159|6
153|237|159|6
153|237|159|6
216|229|272|7
216|229|272|7
216|229|272|7
216|229|272|7
216|229|272|7
216|229|272|7
188|124|236|8
188|124|236|8
188|124|236|8
188|124|236|8
188|124|236|8
137|100|167|9
137|100|167|9
137|100|167|9
137|100|167|9
103|104|222|10
103|104|222|10
103|104|222|10
103|104|222|10
103|104|222|10
103|104|222|10
